Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E09000022,Lambeth,"79,654","81,693","86,693","90,559","95,723","97,525","1,01,149","1,04,761","1,06,315","1,10,641","1,16,290","1,22,188","1,27,297","1,29,671","1,32,957","1,41,422","1,47,147","1,53,399","1,62,909","1,70,785","1,80,931","1,88,181","1,98,281","2,06,979","2,12,198","2,15,687","2,19,407","2,26,830","2,32,540","2,37,245","2,37,323","2,38,101","2,37,940","2,40,307","2,46,223","2,50,940","2,54,231","2,55,795","2,59,074","2,61,912","2,68,878","2,73,853","2,80,393","2,89,175","2,93,653","3,01,781","3,13,027","3,30,535","3,40,604","3,48,025","3,48,892","3,42,439","3,42,138","3,37,445","3,32,003","3,26,431","3,36,758","3,43,297","3,54,098","3,64,889","3,66,963","3,66,782","3,68,651","3,73,812","3,77,944","3,81,969","3,88,767","3,91,889","3,98,776","4,05,495","4,07,100","4,15,890","4,37,456","4,67,143","5,06,103","5,27,246","5,38,040","5,36,969","5,24,321","5,43,859","5,54,122","5,65,824","5,78,989","5,81,325","5,88,579","5,88,824","5,98,022","6,06,993","6,16,126"
E09000023,Lewisham,"61,562","61,390","61,851","62,219","62,846","64,790","67,217","70,291","73,183","74,945","77,186","81,037","83,082","85,078","88,373","91,841","96,266","1,01,063","1,06,707","1,12,532","1,18,227","1,22,084","1,26,056","1,32,213","1,36,125","1,40,732","1,47,249","1,54,680","1,61,305","1,67,605","1,72,470","1,79,528","1,85,154","1,87,185","1,91,206","1,95,049","1,98,402","2,00,398","2,02,200","2,03,252","2,05,393","2,07,347","2,11,743","2,18,370","2,23,323","2,29,200","2,33,461","2,41,386","2,47,998","2,51,613","2,55,894","2,54,359","2,50,581","2,47,194","2,41,583","2,39,185","2,39,481","2,46,480","2,53,077","2,57,505","2,63,878","2,64,969","2,63,215","2,68,588","2,67,820","2,65,124","2,69,243","2,74,324","2,81,909","2,86,325","2,91,918","2,99,248","3,05,825","3,17,328","3,32,369","3,45,627","3,60,998","3,72,868","3,77,205","3,89,490","4,03,589","4,13,683","4,25,266","4,33,010","4,34,769","4,41,406","4,52,263","4,64,843","4,75,142"
E09000024,Merton,"96,344","97,326","98,930","1,01,355","1,03,989","1,05,153","1,07,475","1,11,618","1,13,866","1,20,142","1,25,785","1,30,714","1,36,021","1,37,431","1,44,604","1,55,181","1,62,996","1,70,873","1,77,675","1,82,337","1,86,627","1,94,247","1,95,325","2,01,089","2,04,604","2,05,113","2,14,757","2,26,403","2,34,692","2,39,482","2,43,406","2,42,451","2,46,892","2,50,967","2,59,842","2,72,145","2,77,341","2,86,626","2,89,099","2,83,598","2,83,600","2,80,881","2,87,210","2,97,004","3,03,443","3,21,657","3,37,209","3,58,282","3,74,834","3,79,810","3,81,204","3,73,098","3,69,174","3,60,161","3,40,168","3,50,717","3,61,132","3,76,058","3,99,083","4,14,252","4,33,780","4,32,129","4,32,363","4,45,778","4,37,253","4,21,790","4,28,081","4,18,027","4,24,513","4,45,755","4,55,122","4,69,707","4,73,134","4,78,460","4,89,128","5,16,913","5,37,708","5,54,910","5,61,600","5,59,727","5,71,363","5,81,611","5,90,516","5,84,853","5,87,371","5,95,194","6,10,873","6,22,631","6,38,519"
E09000025,Newham,"47,528","47,469","47,454","48,250","50,082","51,483","53,401","55,470","57,380","59,463","61,144","62,938","65,286","65,893","68,214","71,137","75,326","81,054","86,436","91,865","97,266","1,00,491","1,05,052","1,09,827","1,17,223","1,22,615","1,30,161","1,38,520","1,45,563","1,53,882","1,62,309","1,69,653","1,77,796","1,81,941","1,85,917","1,90,073","1,91,477","1,94,297","1,97,543","2,00,756","2,03,395","2,06,515","2,07,537","2,10,274","2,11,861","2,14,125","2,18,897","2,24,590","2,31,013","2,38,289","2,43,722","2,44,433","2,43,171","2,36,491","2,14,784","2,08,002","2,06,115","2,07,346","2,11,533","2,16,274","2,19,872","2,17,661","2,15,982","2,14,189","2,14,915","2,16,634","2,17,100","2,17,715","2,18,974","2,23,269","2,25,678","2,29,431","2,33,074","2,36,939","2,46,343","2,58,766","2,69,497","2,79,697","2,91,813","3,01,916","3,19,348","3,32,891","3,42,723","3,51,770","3,70,476","3,85,116","3,99,914","4,08,103","4,09,477"
E09000026,Redbridge,"75,003","74,642","76,297","78,290","80,572","81,599","82,762","84,382","86,048","88,246","90,976","93,599","95,245","97,117","99,672","1,04,122","1,09,668","1,14,290","1,20,130","1,27,308","1,31,900","1,36,202","1,42,409","1,48,546","1,55,125","1,59,695","1,66,520","1,76,355","1,85,697","1,93,813","2,00,412","2,06,462","2,11,539","2,15,539","2,22,055","2,28,465","2,32,737","2,35,263","2,34,736","2,35,779","2,38,364","2,39,694","2,44,350","2,50,668","2,56,576","2,62,483","2,68,461","2,75,344","2,80,740","2,85,045","2,88,028","2,85,705","2,80,700","2,71,011","2,61,689","2,56,656","2,55,681","2,62,208","2,64,137","2,72,608","2,86,209","2,91,827","2,99,659","2,99,085","2,94,854","2,94,571","2,97,753","3,02,055","3,03,591","3,04,484","3,04,355","3,10,602","3,15,401","3,19,286","3,23,876","3,28,535","3,38,667","3,50,042","3,61,737","3,74,849","3,87,917","3,98,562","4,05,431","4,14,932","4,23,130","4,29,587","4,36,349","4,46,246","4,52,437"
E09000027,Richmond upon Thames,"1,38,737","1,41,172","1,42,240","1,49,004","1,50,296","1,52,568","1,58,326","1,65,749","1,72,729","1,79,404","1,85,260","1,93,949","2,01,779","2,08,368","2,16,038","2,26,948","2,37,840","2,45,476","2,58,744","2,74,628","2,84,503","2,91,387","2,92,059","2,99,912","3,00,995","3,03,566","3,09,607","3,14,195","3,24,221","3,31,227","3,40,908","3,44,508","3,46,906","3,51,207","3,63,392","3,75,033","3,83,815","3,88,498","3,92,415","3,91,170","3,92,783","3,99,639","4,01,703","4,19,930","4,34,585","4,48,625","4,68,302","4,94,969","5,10,950","5,17,383","5,20,946","5,15,515","5,08,911","5,04,190","4,89,576","4,77,884","5,08,409","5,23,607","5,38,002","5,51,143","5,50,796","5,51,477","5,56,449","5,70,095","5,70,178","5,69,936","5,81,650","5,78,245","5,90,459","5,98,295","6,10,496","6,38,325","6,44,778","6,57,522","6,80,308","7,03,304","7,30,459","7,43,646","7,43,074","7,54,025","7,54,191","7,72,074","7,74,663","7,76,471","7,75,357","7,80,110","7,98,328","8,07,647","8,19,044"
E09000028,Southwark,"84,677","84,119","84,623","85,625","87,617","89,780","94,895","99,397","1,03,515","1,07,542","1,12,762","1,16,950","1,21,755","1,25,327","1,26,721","1,35,335","1,42,789","1,50,198","1,60,921","1,71,580","1,84,697","1,92,996","2,02,504","2,07,358","2,09,574","2,10,746","2,13,760","2,18,207","2,21,727","2,26,887","2,29,420","2,35,119","2,40,345","2,40,734","2,46,804","2,50,317","2,52,682","2,58,667","2,60,600","2,68,108","2,73,515","2,73,274","2,77,340","2,81,820","2,89,173","2,99,248","3,10,412","3,23,684","3,32,738","3,36,992","3,36,419","3,34,725","3,28,055","3,25,587","3,25,480","3,28,390","3,38,570","3,49,598","3,57,391","3,70,741","3,76,688","3,83,983","3,86,916","3,96,801","4,00,980","3,95,247","4,06,827","4,05,335","4,15,796","4,19,837","4,25,673","4,31,743","4,41,747","4,54,455","4,70,323","5,01,088","5,18,144","5,35,907","5,47,127","5,59,003","5,83,065","6,07,715","6,23,542","6,24,573","6,43,858","6,51,179","6,62,741","6,67,660","6,41,210"
E09000029,Sutton,"76,952","76,047","76,122","77,043","79,561","81,473","82,908","85,119","88,169","90,807","94,426","97,863","1,00,413","1,02,553","1,05,576","1,08,881","1,13,447","1,17,278","1,23,746","1,31,068","1,38,136","1,44,099","1,47,035","1,51,108","1,53,408","1,55,900","1,62,870","1,70,053","1,77,432","1,83,933","1,90,311","1,94,447","1,97,763","1,98,117","2,01,023","2,07,607","2,12,522","2,17,030","2,20,537","2,24,050","2,25,682","2,29,339","2,32,054","2,33,211","2,39,235","2,41,763","2,46,238","2,54,492","2,61,248","2,65,513","2,71,116","2,67,693","2,59,375","2,49,612","2,37,782","2,39,943","2,39,794","2,46,460","2,51,180","2,56,173","2,64,951","2,64,252","2,66,686","2,66,756","2,67,042","2,68,678","2,68,853","2,70,504","2,72,250","2,75,048","2,79,230","2,83,753","2,86,681","2,91,217","2,97,183","3,10,500","3,22,434","3,30,233","3,38,644","3,47,086","3,58,826","3,68,930","3,76,758","3,83,561","3,87,585","3,91,484","3,93,962","3,97,079","4,02,121"
E09000030,Tower Hamlets,"76,933","77,991","79,620","84,703","88,715","94,478","1,00,381","1,05,043","1,10,807","1,13,115","1,18,614","1,22,802","1,29,367","1,34,143","1,40,888","1,52,536","1,59,999","1,63,782","1,76,660","1,83,803","1,90,411","1,98,941","2,01,106","2,05,432","2,08,596","2,10,666","2,13,808","2,17,653","2,22,708","2,26,996","2,31,764","2,34,073","2,37,860","2,38,258","2,45,398","2,55,378","2,60,847","2,67,612","2,69,490","2,68,045","2,65,639","2,64,846","2,66,700","2,71,840","2,81,493","2,90,478","3,05,772","3,20,586","3,33,393","3,41,251","3,41,044","3,39,403","3,28,379","3,20,260","3,16,859","3,21,488","3,33,797","3,40,224","3,41,441","3,48,806","3,45,385","3,44,494","3,45,302","3,40,546","3,45,026","3,41,807","3,48,210","3,51,651","3,55,588","3,57,936","3,61,379","3,70,252","3,83,842","4,06,121","4,23,749","4,39,575","4,45,319","4,46,399","4,50,292","4,62,677","4,83,423","5,01,531","5,14,842","5,20,480","5,24,508","5,27,413","5,31,270","5,45,749","5,54,009"
E09000031,Waltham Forest,"58,120","58,593","58,918","59,701","60,623","61,107","63,090","65,159","67,020","69,209","72,169","74,597","77,012","78,327","80,159","84,483","88,497","92,424","96,828","1,01,584","1,05,279","1,08,973","1,12,765","1,17,904","1,23,846","1,29,445","1,37,053","1,46,819","1,55,056","1,62,168","1,68,845","1,74,065","1,78,958","1,82,835","1,86,995","1,91,690","1,95,125","1,97,815","2,01,055","2,03,955","2,05,386","2,06,829","2,08,759","2,12,429","2,18,586","2,24,270","2,30,960","2,39,058","2,45,515","2,49,325","2,51,148","2,46,718","2,38,156","2,30,032","2,19,404","2,16,550","2,20,077","2,24,894","2,28,730","2,33,459","2,36,576","2,36,536","2,37,239","2,36,901","2,40,234","2,40,384","2,46,645","2,50,517","2,51,671","2,56,793","2,57,487","2,68,046","2,81,255","2,92,084","3,03,020","3,19,350","3,34,326","3,44,913","3,58,406","3,70,891","3,84,365","4,00,482","4,11,538","4,21,625","4,31,878","4,40,634","4,45,599","4,54,901","4,59,922"
E09000032,Wandsworth,"1,10,955","1,11,891","1,13,634","1,18,344","1,20,488","1,23,118","1,27,969","1,32,636","1,37,915","1,42,754","1,47,894","1,54,251","1,56,645","1,60,586","1,68,635","1,79,693","1,92,372","2,02,002","2,12,924","2,26,967","2,33,777","2,40,349","2,47,841","2,49,813","2,52,378","2,54,088","2,62,605","2,74,950","2,85,773","2,92,727","2,93,003","2,92,863","2,99,813","3,10,816","3,22,061","3,32,539","3,35,011","3,36,692","3,40,444","3,45,308","3,49,202","3,52,938","3,64,147","3,78,876","3,95,120","4,07,124","4,22,235","4,43,717","4,55,751","4,63,603","4,64,625","4,54,038","4,44,944","4,38,171","4,36,633","4,39,166","4,59,109","4,70,622","4,77,473","4,95,539","4,93,683","5,00,796","5,05,077","5,03,921","5,08,691","5,07,213","5,13,066","5,22,636","5,32,430","5,35,886","5,45,991","5,69,087","5,84,510","6,05,399","6,38,790","6,59,668","6,81,731","6,91,864","6,82,203","6,80,211","6,87,589","7,13,747","7,31,863","7,54,445","7,75,484","7,88,357","8,16,479","8,16,531","8,18,443"
E09000033,Westminster,"1,83,338","1,83,426","1,81,127","1,84,257","1,90,417","1,96,550","2,07,530","2,19,942","2,28,494","2,46,385","2,57,455","2,74,398","2,82,269","2,84,576","2,88,677","2,89,658","3,07,029","3,16,417","3,39,467","3,58,448","3,74,658","3,86,844","3,97,026","4,08,726","4,10,251","4,14,744","4,26,735","4,33,570","4,40,783","4,44,678","4,41,256","4,48,006","4,57,656","4,63,195","4,79,742","4,91,346","4,98,794","5,15,238","5,10,024","5,20,482","5,45,120","5,58,164","5,83,482","5,98,410","5,89,613","5,98,967","6,16,235","6,60,225","6,93,083","7,16,163","7,38,523","7,46,194","7,81,173","7,84,293","7,90,577","7,58,786","7,42,745","7,63,191","7,69,071","7,94,495","8,23,306","8,60,909","9,04,648","9,38,689","9,58,412","9,42,424","10,03,751","10,51,366","11,47,250","12,21,006","12,65,186","12,95,559","12,99,376","13,08,842","13,14,236","13,95,017","14,64,109","14,90,361","14,68,287","14,12,083","13,61,091","14,13,086","14,75,927","15,23,144","15,79,839","16,09,658","16,58,550","16,44,863","17,18,124"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
