Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E09000010,Enfield,"78,510","77,819","79,326","80,649","82,956","85,450","89,034","92,547","95,078","97,501","98,481","1,00,356","1,02,483","1,03,798","1,06,718","1,10,463","1,13,881","1,17,694","1,22,376","1,28,100","1,33,086","1,37,341","1,42,995","1,49,615","1,54,918","1,58,129","1,62,456","1,70,193","1,78,250","1,87,501","1,94,934","2,00,801","2,05,939","2,06,596","2,10,342","2,15,672","2,20,110","2,25,490","2,28,943","2,28,050","2,28,931","2,29,433","2,34,096","2,42,620","2,44,472","2,47,452","2,52,634","2,59,161","2,67,817","2,73,574","2,76,152","2,73,302","2,71,592","2,67,345","2,63,633","2,65,338","2,66,596","2,70,103","2,72,617","2,78,265","2,84,303","2,89,501","2,87,567","2,84,098","2,85,335","2,80,742","2,87,020","2,92,622","2,95,101","3,03,082","3,00,209","3,03,138","3,09,261","3,13,348","3,23,864","3,38,688","3,50,007","3,63,178","3,71,581","3,78,790","3,89,903","4,04,433","4,19,358","4,38,829","4,50,294","4,59,261","4,64,622","4,61,150","4,63,806"
E09000011,Greenwich,"73,079","73,498","75,722","75,908","76,051","77,946","78,322","80,710","82,966","83,946","87,002","89,420","93,892","96,759","99,996","1,06,391","1,11,953","1,15,141","1,21,010","1,26,150","1,30,980","1,36,199","1,40,157","1,45,258","1,48,821","1,54,364","1,61,006","1,69,424","1,76,529","1,79,015","1,84,352","1,89,960","1,94,558","1,96,316","1,98,923","2,03,770","2,08,339","2,14,116","2,20,373","2,22,396","2,25,123","2,27,237","2,29,941","2,35,855","2,37,557","2,41,251","2,46,712","2,51,771","2,60,342","2,64,979","2,70,948","2,70,535","2,67,688","2,66,531","2,54,025","2,62,239","2,64,755","2,72,505","2,80,175","2,89,934","2,96,528","2,96,229","2,97,034","2,96,191","2,96,637","2,93,986","2,94,322","2,89,781","2,93,544","2,97,684","3,02,635","3,16,448","3,30,113","3,38,461","3,57,073","3,65,534","3,69,977","3,72,919","3,71,073","3,82,598","4,01,116","4,17,230","4,26,328","4,34,975","4,45,432","4,52,824","4,56,559","4,63,022","4,62,820"
E09000012,Hackney,"71,607","73,233","73,166","74,597","75,653","76,834","80,626","84,634","89,193","92,478","96,091","1,00,052","1,03,205","1,07,182","1,12,235","1,20,482","1,28,381","1,35,157","1,41,987","1,48,238","1,55,478","1,58,979","1,66,920","1,73,208","1,78,984","1,83,969","1,88,965","1,97,249","2,04,119","2,09,716","2,15,013","2,21,086","2,24,569","2,29,012","2,33,346","2,34,994","2,36,936","2,38,846","2,40,076","2,43,037","2,49,624","2,53,059","2,59,889","2,68,776","2,75,795","2,83,918","2,91,199","3,05,566","3,13,566","3,18,847","3,27,871","3,24,069","3,18,166","3,19,013","2,96,991","3,03,744","3,13,700","3,17,652","3,35,968","3,44,246","3,45,288","3,47,773","3,43,681","3,45,224","3,54,522","3,55,782","3,63,159","3,71,572","3,79,410","3,87,506","4,01,228","4,17,913","4,30,254","4,48,611","4,65,307","4,85,170","5,01,633","5,07,517","5,24,610","5,40,253","5,64,761","5,87,108","5,94,696","6,09,711","6,02,843","5,98,546","6,02,686","6,03,130","6,14,955"
E09000013,Hammersmith and Fulham,"1,37,774","1,42,207","1,45,181","1,49,130","1,50,521","1,50,573","1,57,928","1,68,180","1,76,577","1,85,300","1,91,043","1,95,077","1,97,311","1,99,939","2,08,671","2,23,996","2,40,838","2,52,135","2,64,087","2,73,213","2,81,619","2,88,833","2,94,776","3,06,661","3,06,977","3,11,028","3,26,447","3,34,481","3,45,434","3,49,455","3,49,790","3,52,980","3,57,956","3,64,880","3,74,536","3,85,799","3,86,124","3,93,381","3,99,363","4,08,801","4,18,105","4,24,600","4,35,166","4,47,443","4,53,325","4,66,811","4,85,217","5,10,794","5,34,857","5,53,330","5,65,457","5,63,831","5,65,249","5,55,758","5,29,081","5,36,470","5,55,613","5,68,458","5,91,972","6,19,489","6,22,446","6,28,935","6,42,716","6,35,788","6,38,126","6,34,341","6,39,039","6,61,635","6,75,674","7,03,575","7,17,400","7,40,705","7,66,921","7,82,831","8,02,443","8,37,631","8,86,074","9,05,689","9,43,205","9,47,106","9,40,897","9,44,626","9,36,828","9,31,396","9,40,225","9,32,931","9,37,893","9,65,532","9,72,231"
E09000014,Haringey,"89,630","93,066","95,653","97,231","1,02,676","1,02,120","1,03,576","1,06,952","1,06,794","1,11,236","1,16,899","1,21,270","1,23,957","1,24,055","1,26,485","1,37,191","1,43,404","1,48,509","1,56,818","1,61,270","1,69,316","1,78,086","1,84,969","1,88,669","1,93,583","1,95,032","2,01,513","2,16,725","2,26,533","2,33,364","2,36,680","2,35,836","2,37,220","2,41,338","2,48,213","2,54,091","2,59,485","2,65,853","2,68,899","2,75,564","2,74,262","2,75,931","2,81,987","2,95,364","3,05,233","3,13,639","3,25,746","3,39,308","3,52,754","3,59,339","3,64,066","3,53,203","3,46,868","3,46,455","3,34,027","3,43,171","3,50,064","3,60,777","3,70,636","3,83,760","3,95,977","4,06,455","4,10,736","4,17,485","4,11,253","4,01,489","4,13,225","4,10,011","4,16,303","4,37,605","4,37,657","4,62,459","4,81,674","4,81,360","5,00,502","5,27,783","5,42,902","5,50,309","5,49,650","5,44,476","5,69,499","5,87,651","6,04,665","6,14,791","6,06,629","6,26,473","6,44,927","6,68,129","6,83,987"
E09000015,Harrow,"90,114","90,960","91,975","92,951","94,547","95,827","99,099","1,04,198","1,09,330","1,13,977","1,17,577","1,21,487","1,23,547","1,26,047","1,28,922","1,35,238","1,42,317","1,48,087","1,56,719","1,62,802","1,68,105","1,69,905","1,74,710","1,81,404","1,85,011","1,91,403","1,98,543","2,09,456","2,21,864","2,27,398","2,37,057","2,46,673","2,54,590","2,58,278","2,63,217","2,66,960","2,71,431","2,77,970","2,77,569","2,78,923","2,81,710","2,80,227","2,87,119","2,92,942","2,95,528","3,01,080","3,03,858","3,15,073","3,20,820","3,28,056","3,31,027","3,21,849","3,14,681","3,05,254","2,94,625","2,88,922","2,90,911","2,95,888","3,06,699","3,19,146","3,31,517","3,39,319","3,39,497","3,42,617","3,43,717","3,38,859","3,42,168","3,41,036","3,43,714","3,48,427","3,49,936","3,58,677","3,69,829","3,80,685","3,99,971","4,16,156","4,27,077","4,39,138","4,44,425","4,50,849","4,61,919","4,74,121","4,78,243","4,92,107","5,04,811","5,11,591","5,22,208","5,26,390","5,27,206"
E09000016,Havering,"75,226","75,437","76,473","76,968","79,625","80,378","82,066","84,084","84,998","86,354","89,447","92,437","95,269","98,096","1,00,278","1,03,845","1,06,996","1,09,213","1,13,445","1,17,686","1,22,976","1,26,453","1,29,851","1,33,763","1,36,554","1,40,223","1,46,505","1,55,421","1,63,234","1,70,641","1,77,266","1,85,002","1,92,244","1,95,232","2,00,767","2,05,282","2,08,511","2,14,631","2,16,435","2,18,142","2,19,961","2,19,214","2,20,448","2,25,080","2,27,975","2,30,698","2,35,664","2,42,676","2,46,249","2,50,075","2,52,554","2,49,519","2,46,272","2,41,705","2,33,061","2,23,867","2,25,795","2,33,073","2,39,727","2,49,981","2,57,191","2,54,925","2,54,924","2,48,713","2,48,856","2,45,343","2,44,242","2,45,749","2,45,160","2,50,582","2,50,973","2,56,084","2,57,481","2,62,831","2,70,882","2,75,351","2,84,185","2,89,735","2,94,134","3,08,594","3,17,807","3,28,298","3,36,475","3,47,685","3,58,601","3,66,822","3,72,863","3,79,656","3,87,535"
E09000017,Hillingdon,"81,489","81,154","82,662","82,984","84,197","85,750","86,767","90,256","93,055","94,839","98,337","1,00,976","1,03,077","1,05,442","1,08,140","1,13,129","1,19,189","1,23,857","1,29,349","1,36,315","1,41,787","1,45,344","1,49,686","1,54,231","1,58,026","1,60,820","1,67,535","1,76,332","1,83,959","1,92,215","1,99,144","2,05,967","2,10,379","2,11,668","2,15,507","2,20,009","2,23,758","2,28,240","2,30,612","2,29,581","2,33,399","2,37,339","2,40,271","2,48,374","2,53,091","2,56,038","2,61,742","2,66,815","2,71,401","2,72,529","2,72,896","2,71,690","2,68,423","2,65,659","2,58,943","2,56,830","2,55,440","2,59,126","2,67,003","2,75,086","2,82,348","2,86,060","2,89,257","2,89,530","2,88,639","2,84,143","2,89,255","2,91,321","2,96,744","3,05,584","3,00,791","3,00,546","3,06,450","3,11,281","3,20,661","3,34,985","3,48,123","3,61,821","3,68,449","3,81,118","3,93,842","4,08,068","4,21,983","4,30,478","4,39,746","4,44,236","4,46,908","4,52,469","4,52,272"
E09000018,Hounslow,"89,489","90,184","90,567","89,901","92,155","92,076","94,306","98,623","1,01,768","1,06,307","1,11,400","1,17,691","1,23,952","1,26,020","1,29,991","1,36,561","1,43,128","1,50,664","1,59,286","1,65,927","1,69,888","1,74,215","1,77,736","1,86,019","1,89,187","1,94,544","2,01,928","2,08,112","2,14,367","2,19,223","2,25,600","2,29,634","2,35,931","2,36,059","2,39,572","2,44,242","2,47,790","2,52,374","2,55,066","2,58,099","2,60,221","2,66,815","2,71,539","2,82,094","2,87,101","2,89,174","2,91,867","2,98,382","3,11,925","3,20,669","3,31,002","3,26,201","3,14,107","3,06,648","2,95,564","3,10,473","3,14,530","3,23,953","3,30,029","3,37,225","3,42,719","3,53,524","3,58,222","3,59,516","3,63,455","3,50,045","3,56,878","3,57,982","3,58,795","3,69,487","3,79,629","3,85,656","3,97,806","4,03,530","4,02,724","4,17,422","4,27,360","4,29,654","4,47,842","4,56,432","4,62,024","4,80,960","4,85,794","4,80,409","4,76,268","4,82,235","4,81,450","4,84,162","5,07,876"
E09000019,Islington,"1,19,917","1,18,675","1,19,667","1,22,680","1,24,792","1,27,844","1,35,459","1,39,720","1,44,903","1,49,140","1,56,032","1,63,670","1,69,409","1,75,397","1,82,609","1,92,851","2,04,670","2,14,982","2,23,224","2,35,528","2,46,055","2,47,794","2,56,536","2,60,582","2,60,959","2,68,917","2,74,399","2,84,174","2,92,153","2,93,727","2,92,166","2,95,197","2,94,619","3,02,319","3,10,234","3,11,709","3,20,209","3,21,711","3,26,161","3,34,557","3,33,339","3,35,548","3,47,226","3,53,907","3,66,741","3,77,001","3,93,309","4,20,916","4,37,251","4,49,310","4,48,717","4,39,739","4,25,669","4,18,755","4,04,858","4,05,824","4,14,331","4,27,232","4,42,799","4,61,028","4,80,212","4,91,672","5,00,422","5,11,749","5,07,197","5,03,804","5,15,303","5,12,234","5,23,617","5,33,449","5,39,915","5,60,593","5,75,438","5,95,920","6,18,266","6,46,200","6,69,869","6,86,295","7,07,140","7,26,405","7,43,764","7,43,848","7,42,372","7,45,035","7,54,514","7,61,601","7,71,279","7,86,564","7,78,290"
E09000020,Kensington and Chelsea,"2,63,462","2,68,178","2,76,854","2,94,488","2,97,757","3,05,436","3,19,911","3,31,420","3,47,240","3,62,556","3,66,439","3,77,194","3,78,450","3,78,202","3,91,068","4,04,080","4,32,504","4,70,522","5,07,935","5,41,341","5,58,627","5,59,194","5,59,599","5,80,534","5,83,952","5,90,205","6,07,164","6,10,063","6,15,562","6,26,981","6,31,485","6,37,386","6,60,887","6,75,761","6,82,404","6,97,885","7,11,106","7,16,526","7,29,898","7,47,138","7,56,023","7,82,180","8,12,619","8,46,023","8,73,065","9,14,662","9,50,783","9,97,573","10,23,870","10,50,766","11,08,978","11,16,129","11,85,892","11,44,869","10,93,241","10,75,187","10,42,685","11,16,117","11,23,172","11,73,627","12,56,272","12,66,757","12,98,153","13,02,633","12,90,725","13,10,534","13,72,694","14,71,131","15,11,383","15,51,097","15,61,063","15,98,025","16,66,682","17,23,676","18,14,866","18,86,398","19,46,177","19,51,468","19,48,436","19,35,311","19,14,363","19,48,256","19,26,135","18,86,940","19,53,392","19,84,323","20,68,499","20,87,383","20,92,485"
E09000021,Kingston upon Thames,"97,860","99,118","1,02,870","1,05,213","1,06,789","1,09,919","1,08,694","1,10,879","1,14,268","1,15,966","1,23,194","1,31,109","1,33,869","1,35,500","1,38,183","1,43,870","1,52,164","1,60,221","1,71,821","1,79,859","1,87,757","1,91,720","1,94,952","1,98,862","2,01,931","2,05,869","2,12,811","2,23,583","2,32,365","2,37,295","2,39,480","2,40,951","2,44,841","2,49,150","2,56,072","2,64,315","2,67,525","2,72,215","2,75,020","2,76,943","2,77,468","2,80,611","2,84,432","2,92,102","3,02,953","3,09,666","3,22,970","3,36,822","3,46,884","3,53,079","3,55,826","3,60,191","3,56,364","3,53,924","3,38,317","3,22,697","3,28,180","3,34,037","3,46,665","3,59,105","3,73,249","3,76,982","3,75,509","3,73,182","3,64,948","3,62,299","3,68,658","3,79,006","3,83,982","3,94,607","4,07,334","4,05,679","4,14,419","4,25,260","4,27,499","4,55,795","4,75,081","4,80,285","4,94,013","4,95,871","5,02,091","5,18,836","5,30,638","5,39,644","5,47,214","5,52,448","5,56,435","5,69,995","5,73,938"
